#element,sp_num,g,Level(eV),Uncertainty(eV)
Al,1,2,0,
Al,1,4,0.0138938,
Al,1,2,3.1427212,
Al,1,2,3.598072,
Al,1,4,3.603844,
Al,1,6,3.613244,
Al,1,4,4.0214836,
Al,1,6,4.0216502,
Al,1,2,4.0852554,
Al,1,4,4.0872183,
Al,1,2,4.6728909,
Al,1,4,4.8266321,
Al,1,6,4.8271968,
Al,1,2,4.9930889,
Al,1,4,4.993821,
Al,1,6,5.1229514,
Al,1,8,5.1229524,
Al,1,2,5.225241,
Al,1,4,5.2363166,
Al,1,6,5.2368177,
Al,1,2,5.3728582,
Al,1,4,5.3732134,
Al,1,6,5.4343639,
Al,1,8,5.4343644,
Al,1,8,5.4398996,
Al,1,10,5.4398996,
Al,1,4,5.4759355,
Al,1,6,5.4762391,
Al,1,2,5.4891689,
Al,1,2,5.5693288,
Al,1,4,5.5695298,
Al,1,8,5.6034263,
Al,1,6,5.6034263,
Al,1,10,5.6067785,
Al,1,8,5.6067785,
Al,1,4,5.62196,
Al,1,6,5.6221371,
Al,1,2,5.63598,
Al,1,6,5.7052289,
Al,1,8,5.7052289,
Al,1,8,5.7073982,
Al,1,10,5.7073982,
Al,1,12,5.7078721,
Al,1,10,5.7078721,
Al,1,4,5.7148562,
Al,1,6,5.7149663,
Al,1,2,5.7260732,
Al,1,8,5.7712093,
Al,1,6,5.7712093,
Al,1,4,5.776835,
Al,1,6,5.776914,
Al,1,2,5.785342,
Al,1,6,5.816394,
Al,1,8,5.816394,
Al,1,4,5.819939,
Al,1,6,5.82001,
Al,1,2,5.826403,
Al,1,6,5.848678,
Al,1,8,5.848678,
Al,1,6,5.851109,
Al,1,4,5.851109,
Al,1,2,5.856022,
Al,1,6,5.87433,
Al,1,4,5.87433,
Al,1,2,5.878087,
Al,1,6,5.89187,
Al,1,4,5.89187,
Al,1,2,5.894968,
Al,1,6,5.90569,
Al,1,4,5.90569,
Al,1,2,5.908167,
Al,1,6,5.91669,
Al,1,4,5.91669,
Al,1,2,5.918685,
Al,1,6,5.92558,
Al,1,4,5.92558,
Al,1,4,5.93276,
Al,1,6,5.93276,
Al,1,4,5.93886,
Al,1,6,5.93886,
Al,1,6,5.94389,
Al,1,4,5.94389,
Al,1,6,5.94815,
Al,1,4,5.94815,
Al,1,6,5.95182,
Al,1,4,5.95182,
Al,1,4,5.9551,
Al,1,6,5.9551,
Al,1,6,5.9576,
Al,1,4,5.9576,
Al,1,6,5.96,0.012
Al,1,4,5.96,0.012
Al,1,6,5.962,
Al,1,4,5.962,
Al,1,4,5.9639,
Al,1,6,5.9639,
Al,1,6,5.9655,
Al,1,4,5.9655,
Al,1,6,5.967,
Al,1,4,5.967,
Al,1,6,5.9682,
Al,1,4,5.9682,
Al,1,4,5.9695,
Al,1,6,5.9695,
Al,1,6,5.9705,
Al,1,4,5.9705,
Al,1,6,5.9715,
Al,1,4,5.9715,
Al,1,6,5.972,0.012
Al,1,4,5.972,0.012
Al,1,4,5.9732,
Al,1,6,5.9732,
Al,1,6,5.9738,
Al,1,4,5.9738,
Al,1,,5.985769,0.000003
Al,1,2,6.41652,
Al,1,2,7.0220847,
Al,1,4,7.0330012,
Al,1,2,7.648766,
Al,1,4,7.655722,
Al,1,6,7.667622,
Al,1,4,8.3856871,
Al,1,6,8.3891377,
Al,1,2,8.65897,
Al,1,4,8.66405,
Al,1,4,8.71432,
Al,1,4,8.74839,
Al,1,2,8.76685,
Al,1,4,8.77356,
Al,1,2,8.832045,
Al,1,4,8.833151,
Al,1,6,8.835182,
Al,1,8,8.83839,
Al,1,6,8.8838,
Al,1,4,8.8838,
Al,1,6,8.952155,
Al,1,4,8.957924,
Al,1,2,8.961299,
Al,1,6,9.04823,
Al,1,8,9.06049,
Al,1,2,9.05717,
Al,1,6,9.296214,
Al,1,4,9.48748,
Al,1,6,9.491421,
Al,1,2,9.62452,
Al,1,4,9.62649,
Al,1,2,9.62959,
Al,1,4,9.63515,
Al,1,4,9.6526,
Al,1,4,9.7044,
Al,1,6,9.7044,
Al,1,6,9.746674,
Al,1,8,9.758828,
Al,1,2,9.76288,
Al,1,4,9.93833,
Al,1,6,9.94253,
Al,1,2,10.00834,
Al,1,4,10.00979,
Al,1,2,10.015,
Al,1,4,10.01939,
Al,1,4,10.03445,
Al,1,6,10.0544,
Al,1,4,10.0544,
Al,1,4,10.08178,
Al,1,4,10.2082,
Al,1,2,10.21325,
Al,1,4,10.21767,
Al,1,4,10.2408,
Al,1,6,10.2408,
Al,1,2,10.25372,
Al,1,4,10.32471,
Al,1,4,10.32811,
Al,1,4,10.3451,
Al,1,6,10.3462,
Al,1,4,10.3516,
Al,1,6,10.3516,
Al,1,2,10.35723,
Al,1,2,10.38953,
Al,1,4,10.39951,
Al,1,4,10.39855,
Al,1,6,10.421,
Al,1,4,10.42452,
Al,1,4,10.45093,
Al,1,6,10.4697,
Al,1,2,10.47087,
Al,1,4,10.486,
Al,1,6,10.5032,
Al,1,2,10.50408,
Al,1,,10.6219,
Al,1,,10.629448,
Al,1,,10.644807,
Al,1,,13.40646,
Al,2,1,0,
Al,2,1,4.636145,
Al,2,3,4.643693,
Al,2,5,4.659052,
Al,2,3,7.420705,
Al,2,5,10.598337,
Al,2,3,11.316596,
Al,2,1,11.665048,
Al,2,3,11.672797,
Al,2,5,11.687827,
Al,2,1,11.821968,
Al,2,7,11.846618,
Al,2,5,11.846753,
Al,2,3,11.846869,
Al,2,1,13.071347,
Al,2,3,13.07308,
Al,2,5,13.076729,
Al,2,3,13.25646,
Al,2,5,13.649399,
Al,2,1,13.841265,
Al,2,3,14.8896243,
Al,2,1,15.0475561,
Al,2,7,15.062034,
Al,2,5,15.062086,
Al,2,3,15.0621276,
Al,2,5,15.301941,
Al,2,7,15.302186,
Al,2,9,15.302546,
Al,2,7,15.30839,
Al,2,5,15.4725,
Al,2,1,15.585203,
Al,2,3,15.5859083,
Al,2,5,15.5875046,
Al,2,3,15.6057689,
Al,2,3,16.3926349,
Al,2,1,16.4624524,
Al,2,5,16.467928,
Al,2,7,16.46794,
Al,2,3,16.467947,
Al,2,5,16.544168,
Al,2,7,16.544833,
Al,2,9,16.5457,
Al,2,7,16.574428,
Al,2,5,16.6035135,
Al,2,9,16.63666,
Al,2,11,16.63666,
Al,2,7,16.63666,
Al,2,9,16.63666,
Al,2,3,16.727874,
Al,2,1,16.7393899,
Al,2,3,16.7398135,
Al,2,5,16.7406102,
Al,2,3,17.171798,
Al,2,5,17.17446,
Al,2,7,17.17663,
Al,2,9,17.17947,
Al,2,1,17.209081,
Al,2,3,17.21085,
Al,2,5,17.21085,
Al,2,7,17.210881,
Al,2,7,17.2642222,
Al,2,5,17.269654,
Al,2,7,17.30709,
Al,2,11,17.30709,
Al,2,9,17.30709,
Al,2,9,17.30709,
Al,2,3,17.347743,
Al,2,1,17.36895,
Al,2,3,17.36918,
Al,2,5,17.36965,
Al,2,5,17.492297,
Al,2,7,17.495418,
Al,2,9,17.499508,
Al,2,3,17.628438,
Al,2,1,17.65077,
Al,2,3,17.651077,
Al,2,5,17.651096,
Al,2,7,17.651132,
Al,2,7,17.680649,
Al,2,5,17.681296,
Al,2,7,17.71134,
Al,2,9,17.71134,
Al,2,11,17.71134,
Al,2,9,17.71134,
Al,2,3,17.72493,
Al,2,1,17.75025,
Al,2,3,17.750416,
Al,2,5,17.750823,
Al,2,5,17.762699,
Al,2,7,17.763571,
Al,2,9,17.764921,
Al,2,3,17.919108,
Al,2,3,17.93332,
Al,2,5,17.933345,
Al,2,7,17.933378,
Al,2,1,17.933588,
Al,2,5,17.950709,
Al,2,7,17.950984,
Al,2,3,17.970406,
Al,2,9,17.97363,
Al,2,7,17.97363,
Al,2,11,17.97363,
Al,2,9,17.97363,
Al,2,9,17.97674,
Al,2,13,17.97674,
Al,2,11,17.97674,
Al,2,11,17.97674,
Al,2,5,17.993766,
Al,2,7,17.994066,
Al,2,9,17.994485,
Al,2,1,17.995791,
Al,2,3,17.996438,
Al,2,5,17.997483,
Al,2,1,18.073939,
Al,2,3,18.081198,
Al,2,5,18.096925,
Al,2,3,18.115597,
Al,2,3,18.12506,
Al,2,5,18.12506,
Al,2,7,18.12511,
Al,2,1,18.12551,
Al,2,5,18.13591,
Al,2,7,18.136247,
Al,2,3,18.138878,
Al,2,9,18.15338,
Al,2,7,18.15338,
Al,2,11,18.15338,
Al,2,9,18.15338,
Al,2,9,18.15563,
Al,2,13,18.15563,
Al,2,11,18.15563,
Al,2,11,18.15563,
Al,2,5,18.163673,
Al,2,7,18.163808,
Al,2,9,18.163991,
Al,2,1,18.175445,
Al,2,3,18.175705,
Al,2,5,18.176344,
Al,2,3,18.254621,
Al,2,3,18.259255,
Al,2,5,18.261217,
Al,2,7,18.261273,
Al,2,3,18.26138,
Al,2,1,18.261754,
Al,2,5,18.268438,
Al,2,7,18.268659,
Al,2,11,18.28189,
Al,2,9,18.28189,
Al,2,7,18.28189,
Al,2,9,18.28189,
Al,2,9,18.28358,
Al,2,13,18.28358,
Al,2,11,18.28358,
Al,2,11,18.28358,
Al,2,5,18.288011,
Al,2,7,18.288075,
Al,2,9,18.28818,
Al,2,5,18.29689,
Al,2,3,18.350218,
Al,2,3,18.35662,
Al,2,7,18.36122,
Al,2,1,18.36189,
Al,2,5,18.366415,
Al,2,7,18.36651,
Al,2,7,18.37695,
Al,2,11,18.37695,
Al,2,9,18.37695,
Al,2,9,18.37695,
Al,2,5,18.380951,
Al,2,7,18.38097,
Al,2,9,18.381039,
Al,2,3,18.422123,
Al,2,3,18.43362,
Al,2,1,18.43767,
Al,2,7,18.440872,
Al,2,11,18.4492,
Al,2,9,18.4492,
Al,2,7,18.4492,
Al,2,9,18.4492,
Al,2,5,18.45204,
Al,2,9,18.45204,
Al,2,7,18.45204,
Al,2,3,18.480338,
Al,2,1,18.49624,
Al,2,7,18.49864,
Al,2,9,18.50532,
Al,2,9,18.50532,
Al,2,7,18.50532,
Al,2,11,18.50532,
Al,2,5,18.50749,
Al,2,9,18.50749,
Al,2,7,18.50749,
Al,2,3,18.527848,
Al,2,1,18.54272,
Al,2,7,18.54444,
Al,2,5,18.55163,
Al,2,9,18.55163,
Al,2,7,18.55163,
Al,2,3,18.56678,
Al,2,1,18.58015,
Al,2,7,18.58134,
Al,2,9,18.58725,
Al,2,3,18.59886,
Al,2,7,18.61147,
Al,2,5,18.61644,
Al,2,9,18.61644,
Al,2,7,18.61644,
Al,2,7,18.63649,
Al,2,5,18.64064,
Al,2,7,18.64064,
Al,2,9,18.64064,
Al,2,7,18.65743,
Al,2,3,18.658729,
Al,2,5,18.661751,
Al,2,7,18.665098,
Al,2,7,18.67506,
Al,2,7,18.69017,
Al,2,,18.82855,0.00005
Al,2,,25.48441,
Cu,1,2,0,0
Cu,1,6,1.388948,0.000003
Cu,1,4,1.6422256,0.0000024
Cu,1,2,3.7858977,0.0000024
Cu,1,4,3.816692,0.0000022
Cu,1,6,4.837701,0.000004
Cu,1,4,4.973503,0.000004
Cu,1,2,5.076382,0.000004
Cu,1,10,5.072089,0.000006
Cu,1,8,5.10238,0.000004
Cu,1,6,5.153147,0.000004
Cu,1,4,5.244851,0.000004
Cu,1,2,5.3483348,0.0000021
Cu,1,8,5.39505,0.000004
Cu,1,6,5.505682,0.000004
Cu,1,4,5.522772,0.000004
Cu,1,2,5.568835,0.000005
Cu,1,6,5.421363,0.000004
Cu,1,8,5.574734,0.000004
Cu,1,2,5.681073,0.000004
Cu,1,4,5.688311,0.000004
Cu,1,4,5.724709,0.000004
Cu,1,6,5.777459,0.000004
Cu,1,4,6.1227049,0.0000021
Cu,1,2,6.1227444,0.0000009
Cu,1,4,6.1911751,0.0000016
Cu,1,6,6.1920252,0.0000016
Cu,1,2,6.55241,0.0000004
Cu,1,4,6.7923584,0.0000006
Cu,1,2,6.822573,0.0000009
Cu,1,4,6.8671955,0.0000006
Cu,1,6,6.8676456,0.0000006
Cu,1,8,6.8719921,0.0000016
Cu,1,6,6.8723598,0.0000016
Cu,1,8,6.946821,0.000009
Cu,1,6,7.205884,0.000009
Cu,1,4,6.985719,0.000006
Cu,1,2,7.236296,0.000009
Cu,1,6,7.02388,0.000005
Cu,1,4,7.276745,0.000006
Cu,1,2,7.0263553,0.0000016
Cu,1,2,7.119078,0.000006
Cu,1,4,7.1847068,0.0000021
Cu,1,4,7.1778166,0.000001
Cu,1,6,7.1780681,0.0000012
Cu,1,6,7.1793195,0.0000007
Cu,1,8,7.1802167,0.0000007
Cu,1,8,7.1816767,0.0000016
Cu,1,10,7.1816767,0.0000016
Cu,1,2,7.261618,0.000014
Cu,1,4,7.345981,0.000003
Cu,1,6,7.3461333,0.0000022
Cu,1,8,7.347225,0.000003
Cu,1,6,7.3472875,0.0000025
Cu,1,8,7.3481359,0.0000015
Cu,1,10,7.3481359,0.0000015
Cu,1,22,7.3483475,0.0000019
Cu,1,4,7.349162,0.000006
Cu,1,2,7.35508,0.000007
Cu,1,2,7.395393,0.000015
Cu,1,4,7.447174,0.000019
Cu,1,6,7.447282,0.000016
Cu,1,4,7.447752,0.000006
Cu,1,2,7.449569,0.000007
Cu,1,8,7.4479138,0.0000012
Cu,1,6,7.4479334,0.0000017
Cu,1,8,7.4485062,0.000002
Cu,1,10,7.4485062,0.000002
Cu,1,22,7.448643,0.000004
Cu,1,6,7.51267,0.000006
Cu,1,4,7.512763,0.000019
Cu,1,6,7.512825,0.00001
Cu,1,4,7.512835,0.000005
Cu,1,2,7.51359,0.000007
Cu,1,4,7.55762,0.000005
Cu,1,2,7.557999,0.000007
Cu,1,4,7.557694,0.00002
Cu,1,6,7.557744,0.000024
Cu,1,4,7.589709,0.00001
Cu,1,2,7.589923,0.000007
Cu,1,6,7.58984,0.00004
Cu,1,4,7.613467,0.000009
Cu,1,2,7.613558,0.00001
Cu,1,4,7.63153,0.000016
Cu,1,2,7.631562,0.000025
Cu,1,4,7.645592,0.000024
Cu,1,2,7.6456,0.00003
Cu,1,4,7.656732,0.000024
Cu,1,2,7.65674,0.00003
Cu,1,6,7.665725,0.00001
Cu,1,6,7.673078,0.00001
Cu,1,6,7.679171,0.00001
Cu,1,2,7.68153,0.00004
Cu,1,6,7.684278,0.00001
Cu,1,2,7.68625,0.00004
Cu,1,6,7.688595,0.00001
Cu,1,2,7.69026,0.00004
Cu,1,6,7.692282,0.00001
Cu,1,2,7.69372,0.00004
Cu,1,6,7.695452,0.00001
Cu,1,2,7.696685,0.00002
Cu,1,6,7.6982,0.00001
Cu,1,2,7.69928,0.00004
Cu,1,6,7.7006,0.00001
Cu,1,2,7.701571,0.00001
Cu,1,6,7.702704,0.00001
Cu,1,2,7.70352,0.00004
Cu,1,6,7.704557,0.00001
Cu,1,2,7.705299,0.00001
Cu,1,6,7.706209,0.00001
Cu,1,2,7.706852,0.00001
Cu,1,6,7.70768,0.00001
Cu,1,2,7.70827,0.00001
Cu,1,6,7.708993,0.00001
Cu,1,2,7.709521,0.00001
Cu,1,6,7.710172,0.00001
Cu,1,2,7.710647,0.00001
Cu,1,6,7.711242,0.00001
Cu,1,2,7.71166,0.00001
Cu,1,6,7.712206,0.00001
Cu,1,2,7.712595,0.00001
Cu,1,6,7.713079,0.00001
Cu,1,2,7.71342,0.00004
Cu,1,6,7.713867,0.00001
Cu,1,2,7.7142,0.00004
Cu,1,6,7.714586,0.00001
Cu,1,2,7.71485,0.00004
Cu,1,6,7.715254,0.00001
Cu,1,2,7.71551,0.00004
Cu,1,6,7.715868,0.00001
Cu,1,2,7.71609,0.00004
Cu,1,6,7.716429,0.00001
Cu,1,2,7.71662,0.00004
Cu,1,6,7.716944,0.00001
Cu,1,2,7.71712,0.00004
Cu,1,6,7.717424,0.00001
Cu,1,6,7.717866,0.00001
Cu,1,6,7.718274,0.00001
Cu,1,6,7.718654,0.00001
Cu,1,6,7.719014,0.00001
Cu,1,6,7.719345,0.00001
Cu,1,6,7.719654,0.00001
Cu,1,6,7.719947,0.00001
Cu,1,6,7.720211,0.00001
Cu,1,6,7.720471,0.00001
Cu,1,6,7.720715,0.00001
Cu,1,6,7.72093,0.00004
Cu,1,6,7.72114,0.00004
Cu,1,6,7.72133,0.00004
Cu,1,6,7.72154,0.00004
Cu,1,6,7.72171,0.00004
Cu,1,6,7.72187,0.00004
Cu,1,,7.72638,0.000004
Cu,1,8,7.737027,0.000004
Cu,1,6,7.80459,0.000006
Cu,1,4,7.883492,0.000006
Cu,1,2,7.993553,0.000004
Cu,1,6,8.016523,0.000007
Cu,1,4,8.0912,0.000014
Cu,1,6,8.324631,0.000014
Cu,1,4,8.427456,0.000006
Cu,1,4,8.71376,0.00006
Cu,1,2,8.80315,0.00011
Cu,1,8,8.720675,0.000009
Cu,1,6,8.73029,0.000009
Cu,1,8,8.733648,0.000009
Cu,1,6,8.74849,0.00009
Cu,1,4,8.806574,0.000006
Cu,1,2,9.00145,0.00014
Cu,1,4,8.784698,0.000005
Cu,1,2,8.945645,0.000014
Cu,1,2,8.78474,0.00003
Cu,1,10,8.785458,0.000007
Cu,1,8,8.928948,0.000006
Cu,1,6,8.797899,0.000006
Cu,1,8,8.879001,0.00001
Cu,1,4,8.802645,0.000005
Cu,1,6,8.815053,0.000005
Cu,1,4,8.939879,0.000012
Cu,1,8,8.818726,0.000005
Cu,1,6,8.945607,0.000006
Cu,1,12,8.81908,0.000025
Cu,1,10,8.92422,0.000012
Cu,1,8,9.063585,0.000007
Cu,1,6,9.075491,0.000006
Cu,1,6,8.82497,0.000004
Cu,1,2,8.912346,0.000012
Cu,1,4,8.917846,0.000005
Cu,1,8,8.836134,0.000005
Cu,1,6,8.935167,0.000005
Cu,1,4,9.063852,0.000007
Cu,1,10,8.838904,0.000006
Cu,1,8,8.938404,0.000005
Cu,1,6,9.08862,0.000005
Cu,1,4,9.090086,0.000005
Cu,1,6,8.895317,0.000009
Cu,1,4,8.92988,0.000009
Cu,1,4,8.9167,0.0001
Cu,1,2,9.01835,0.00014
Cu,1,4,8.9205,0.00012
Cu,1,8,9.174217,0.000012
Cu,1,6,9.21365,0.000011
Cu,1,4,9.304224,0.000019
Cu,1,2,9.430786,0.00001
Cu,1,4,9.20698,0.00004
Cu,1,2,9.310131,0.00001
Cu,1,8,9.217236,0.00001
Cu,1,6,9.289453,0.00001
Cu,1,10,9.237791,0.000007
Cu,1,2,9.312387,0.000009
Cu,1,4,9.331485,0.000007
Cu,1,6,9.319921,0.000006
Cu,1,4,9.464002,0.000016
Cu,1,8,9.32439,0.00004
Cu,1,10,9.34171,0.00003
Cu,1,2,9.3467,0.00004
Cu,1,4,9.35339,0.000019
Cu,1,6,9.354195,0.000012
Cu,1,6,9.365294,0.000011
Cu,1,8,9.369838,0.000006
Cu,1,10,9.52503,0.00003
Cu,1,8,9.65826,0.00003
Cu,1,4,9.52587,0.00003
Cu,1,4,9.536,0.00015
Cu,1,2,9.63149,0.00015
Cu,1,6,9.540515,0.000019
Cu,1,4,9.66252,0.00005
Cu,1,4,9.5417,0.00004
Cu,1,8,9.541852,0.000016
Cu,1,6,9.665726,0.000015
Cu,1,12,9.54854,0.00004
Cu,1,10,9.652658,0.000012
Cu,1,8,9.79329,0.00004
Cu,1,6,9.80137,0.000015
Cu,1,6,9.550539,0.000015
Cu,1,2,9.64779,0.00004
Cu,1,4,9.651066,0.00002
Cu,1,8,9.55523,0.000016
Cu,1,6,9.659035,0.000012
Cu,1,4,9.795181,0.000017
Cu,1,10,9.556763,0.000019
Cu,1,8,9.660768,0.000012
Cu,1,6,9.809232,0.000017
Cu,1,4,9.809527,0.000021
Cu,1,6,9.58235,0.00015
Cu,1,6,9.58362,0.00015
Cu,1,6,9.62401,0.00015
Cu,1,8,9.70315,0.000014
Cu,1,6,9.731085,0.00002
Cu,1,4,9.826733,0.000021
Cu,1,2,9.959759,0.000025
Cu,1,6,9.714132,0.000024
Cu,1,4,9.742417,0.000022
Cu,1,2,9.78141,0.00015
Cu,1,2,9.78488,0.00015
Cu,1,6,9.827971,0.000017
Cu,1,4,9.97532,0.0001
Cu,1,4,9.83908,0.00016
Cu,1,4,9.87421,0.00006
Cu,1,4,9.87504,0.00016
Cu,1,2,9.97805,0.00016
Cu,1,12,9.87756,0.00011
Cu,1,10,9.98142,0.00009
Cu,1,6,9.87849,0.00009
Cu,1,8,9.88085,0.00009
Cu,1,6,9.98597,0.00007
Cu,1,10,9.88149,0.00007
Cu,1,8,9.98813,0.00004
Cu,1,6,9.8938,0.00016
Cu,1,8,9.95819,0.00004
Cu,1,6,9.97138,0.00016
Cu,1,8,9.98737,0.00004
Cu,1,6,9.98992,0.00012
Cu,1,4,9.99145,0.00006
Cu,1,4,10.03579,0.00016
Cu,1,2,10.11876,0.00024
Cu,1,4,10.05321,0.00016
Cu,1,2,10.16497,0.00016
Cu,1,6,10.06292,0.00016
Cu,1,6,10.07899,0.00003
Cu,1,4,10.081629,0.000017
Cu,1,6,10.08764,0.00005
Cu,1,8,10.089364,0.000022
Cu,1,2,10.11876,0.00024
Cu,1,2,10.1224,0.00016
Cu,1,4,10.15107,0.00016
Cu,1,4,10.1519,0.00016
Cu,1,4,10.16306,0.00016
Cu,1,2,10.26759,0.00017
Cu,1,6,10.17716,0.00016
Cu,1,6,10.18217,0.00016
Cu,1,4,10.22651,0.00017
Cu,1,6,10.23064,0.00017
Cu,1,4,10.27405,0.00017
Cu,1,6,10.27567,0.00017
Cu,1,6,10.27865,0.00017
Cu,1,4,10.30436,0.00017
Cu,1,6,10.30837,0.00005
Cu,1,4,10.31997,0.00017
Cu,1,4,10.32995,0.00017
Cu,1,6,10.33201,0.00017
Cu,1,2,10.33805,0.00017
Cu,1,6,10.34461,0.00017
Cu,1,4,10.34901,0.00017
Cu,1,6,10.34995,0.00017
Cu,1,4,10.36319,0.00017
Cu,1,6,10.36389,0.00017
Cu,1,4,10.37429,0.00017
Cu,1,6,10.37507,0.00017
Cu,1,4,10.37993,0.00017
Cu,1,2,10.38446,0.00017
Cu,1,4,10.38994,0.00017
Cu,1,4,10.39203,0.00025
Cu,1,2,10.43094,0.00017
Cu,1,6,10.39203,0.00025
Cu,1,4,10.39744,0.00017
Cu,1,4,10.4025,0.00017
Cu,1,4,10.40695,0.00017
Cu,1,2,10.41167,0.00017
Cu,1,2,10.41778,0.00017
Cu,1,4,10.41946,0.00017
Cu,1,6,10.42147,0.00017
Cu,1,2,10.44298,0.00017
Cu,1,,10.445196,
Cu,1,6,10.44562,0.00017
Cu,1,2,10.46139,0.00017
Cu,1,6,10.4636,0.00017
Cu,1,2,10.47616,0.00017
Cu,1,6,10.47783,0.00017
Cu,1,2,10.48076,0.00017
Cu,1,4,10.48749,0.00017
Cu,1,2,10.48962,0.00017
Cu,1,2,10.49735,0.00017
Cu,1,2,10.50491,0.00017
Cu,1,2,10.5107,0.00017
Cu,1,2,10.51604,0.00017
Cu,1,2,10.5206,0.00017
Cu,1,2,10.52766,0.00017
Cu,1,4,10.53248,0.00017
Cu,1,,10.559061,
Cu,1,2,10.56092,0.00019
Cu,1,4,10.56462,0.00019
Cu,1,4,10.57822,0.00019
Cu,1,2,10.6002,0.00019
Cu,1,2,10.58663,0.00019
Cu,1,4,10.58834,0.00019
Cu,1,2,10.60501,0.00019
Cu,1,4,10.60646,0.00019
Cu,1,2,10.61936,0.00019
Cu,1,4,10.62064,0.00019
Cu,1,2,10.63065,0.00019
Cu,1,4,10.63166,0.00019
Cu,1,2,10.64022,0.00019
Cu,1,2,10.64773,0.00019
Cu,1,2,10.65349,0.00019
Cu,1,2,10.65917,0.00019
Cu,1,2,10.66338,0.00019
Cu,1,4,10.68894,0.00019
Cu,1,2,10.70194,0.00019
Cu,1,,10.701798,
Cu,1,4,10.75944,0.00019
Cu,1,2,10.76784,0.00019
Cu,1,4,10.80708,0.00019
Cu,1,2,10.81311,0.00019
Cu,1,,10.98277,
Cu,2,1,0,0.0000021
Cu,2,7,2.71881633,0.00000017
Cu,2,5,2.83268156,0.00000006
Cu,2,3,2.97541889,0.00000011
Cu,2,5,3.2563892,0.00000015
Cu,2,5,8.23486741,0.00000017
Cu,2,3,8.4205799,0.00000014
Cu,2,1,8.53634465,0.00000017
Cu,2,7,8.48643755,0.00000016
Cu,2,9,8.52154401,0.00000021
Cu,2,5,8.6625261,0.00000014
Cu,2,9,8.64228154,0.00000024
Cu,2,7,8.8687809,0.0000004
Cu,2,5,9.0166042,0.0000005
Cu,2,7,8.78322249,0.00000017
Cu,2,5,8.86410828,0.00000009
Cu,2,7,8.91695547,0.0000001
Cu,2,3,9.06349793,0.00000009
Cu,2,5,9.09464957,0.0000001
Cu,2,3,9.12471804,0.00000022
Cu,2,5,10.5868585,0.0000004
Cu,2,5,10.9554919,0.0000004
Cu,2,3,10.9856318,0.0000005
Cu,2,1,11.0254191,0.0000004
Cu,2,9,11.8486267,0.0000004
Cu,2,9,13.3832009,0.0000012
Cu,2,7,13.5484991,0.0000007
Cu,2,5,13.683358,0.000001
Cu,2,3,13.777668,0.000017
Cu,2,7,13.39213301,0.00000015
Cu,2,5,13.43190349,0.00000015
Cu,2,3,13.64873568,0.00000014
Cu,2,5,13.68365916,0.00000014
Cu,2,11,13.7165202,0.0000011
Cu,2,9,13.789362,0.000001
Cu,2,7,13.8709073,0.000001
Cu,2,5,13.938884,0.000003
Cu,2,11,13.936026,0.000003
Cu,2,9,14.0477597,0.0000007
Cu,2,7,14.1342547,0.0000009
Cu,2,5,14.1939186,0.0000007
Cu,2,3,14.2279248,0.0000014
Cu,2,3,14.19758413,0.00000015
Cu,2,1,14.45365331,0.00000022
Cu,2,9,14.3027591,0.0000006
Cu,2,11,14.3258923,0.0000014
Cu,2,7,14.4620079,0.0000004
Cu,2,11,14.32872921,0.00000015
Cu,2,9,14.34033006,0.00000017
Cu,2,5,14.33738437,0.00000014
Cu,2,3,14.34065139,0.00000014
Cu,2,7,14.39211349,0.00000012
Cu,2,5,14.43024652,0.00000012
Cu,2,7,14.4225753,0.00000014
Cu,2,9,14.42818752,0.00000014
Cu,2,7,14.4287114,0.0000004
Cu,2,5,14.5223113,0.0000004
Cu,2,3,14.6389757,0.0000004
Cu,2,3,14.53484133,0.00000024
Cu,2,1,15.1776443,0.0000004
Cu,2,9,14.5888023,0.0000006
Cu,2,7,14.647859,0.0000004
Cu,2,5,14.75903379,0.00000024
Cu,2,7,14.59881086,0.00000019
Cu,2,9,14.61564148,0.00000016
Cu,2,3,14.62123579,0.00000022
Cu,2,5,14.65037786,0.00000019
Cu,2,7,14.69012064,0.00000019
Cu,2,5,14.69608333,0.0000002
Cu,2,9,14.7530447,0.0000009
Cu,2,5,14.88955782,0.00000015
Cu,2,3,14.99211615,0.00000015
Cu,2,7,14.96299738,0.00000016
Cu,2,9,14.9760276,0.00000016
Cu,2,5,14.98671572,0.00000019
Cu,2,7,15.01190137,0.00000015
Cu,2,7,15.06716123,0.00000017
Cu,2,5,15.12382247,0.00000019
Cu,2,1,15.15384714,0.00000025
Cu,2,3,15.23365834,0.00000019
Cu,2,5,15.21855811,0.00000016
Cu,2,7,15.25214151,0.00000017
Cu,2,3,15.2878496,0.0000004
Cu,2,5,15.31909404,0.0000002
Cu,2,7,15.5265487,0.0000021
Cu,2,5,15.5287879,0.000001
Cu,2,3,15.568613,0.000005
Cu,2,5,15.9153229,0.0000007
Cu,2,7,15.9393235,0.000001
Cu,2,9,15.9664417,0.0000021
Cu,2,3,15.940543,0.000001
Cu,2,5,15.9758644,0.000001
Cu,2,7,16.0084397,0.0000014
Cu,2,1,15.982807,0.000007
Cu,2,1,16.0070764,0.0000011
Cu,2,3,16.0881586,0.0000007
Cu,2,5,16.1658538,0.000002
Cu,2,3,16.2345514,0.000001
Cu,2,5,16.2349448,0.0000011
Cu,2,1,16.2361719,0.000002
