#element,sp_num,ritz_wl_vac(nm),Aki(s^-1),Ei(eV),Ek(eV),g_i,g_k,Type
Al,1,217.41127,5880000,0.0138938,5.7148562,4,4,
Al,2,219.2604,247000000,11.846618,17.499508,7,9,
Al,2,219.4191,27400000,11.846618,17.495418,7,7,
Al,2,219.4244,219000000,11.846753,17.495418,5,7,
Al,2,219.5404,1080000,11.846618,17.492297,7,5,
Al,2,219.5457,38300000,11.846753,17.492297,5,5,
Al,2,219.5502,207000000,11.846869,17.492297,3,5,
Al,1,219.91827,1750000,0,5.63598,2,2,
Al,1,220.46181,3490000,0.0138938,5.63598,4,2,
Al,1,220.46676,43700000,0,5.62196,2,4,
Al,1,221.00603,52000000,0.0138938,5.6221371,4,6,
Al,1,221.01301,8670000,0.0138938,5.62196,4,4,
Al,2,224.3047,30300000,11.821968,17.347743,1,3,
Al,1,225.8007,3770000,0,5.4891689,2,2,
Al,1,226.34644,68300000,0,5.4759355,2,4,
Al,1,226.37374,7500000,0.0138938,5.4891689,4,2,
Al,1,226.90963,75800000,0.0138938,5.4762391,4,6,
Al,1,226.92225,12600000,0.0138938,5.4759355,4,4,
Al,2,232.4198,34600000,11.846618,17.17947,7,9,
Al,2,232.5437,3850000,11.846618,17.17663,7,7,
Al,2,232.5496,30700000,11.846753,17.17663,5,7,
Al,2,232.6384,152000,11.846618,17.17446,7,5,
Al,2,232.6443,5380000,11.846753,17.17446,5,5,
Al,2,232.6493,29000000,11.846869,17.17446,3,5,
Al,1,236.70518,76100000,0,5.2363166,2,4,
Al,1,237.20695,5760000,0,5.225241,2,2,
Al,1,237.3122,90700000,0.0138938,5.2368177,4,6,
Al,1,237.33497,15100000,0.0138938,5.2363166,4,4,
Al,1,237.83941,11400000,0.0138938,5.225241,4,2,
Al,2,247.5256,46000000,10.598337,15.6057689,5,3,
Al,2,252.6484,19400000,11.821968,16.727874,1,3,
Al,1,256.79823,19200000,0,4.8266321,2,4,
Al,1,257.5094,36000000,0.0138938,4.8271968,4,6,
Al,1,257.53962,5990000,0.0138938,4.8266321,4,4,
Al,2,263.1546,248000000,10.598337,15.30839,5,7,
Al,2,263.7691,28500000,11.846618,16.5457,7,9,
Al,2,263.8178,3180000,11.846618,16.544833,7,7,
Al,2,263.8254,25300000,11.846753,16.544833,5,7,
Al,2,263.8552,125000,11.846618,16.544168,7,5,
Al,2,263.8628,4440000,11.846753,16.544168,5,5,
Al,2,263.8692,24000000,11.846869,16.544168,3,5,
Al,1,265.24758,14200000,0,4.6728909,2,2,
Al,2,266.0355,0.00335,0,4.659052,1,5,M2
Al,1,266.03863,28400000,0.0138938,4.6728909,4,2,
Al,2,266.9155,3280,0,4.643693,1,3,
Al,2,281.6185,357000000,7.420705,11.821968,3,1,
Al,2,299.4273,4040000,13.071347,17.21085,1,3,
Al,2,299.5528,5440000,13.07308,17.21085,3,5,
Al,2,299.5528,3030000,13.07308,17.21085,3,3,
Al,2,299.8149,7260000,13.076729,17.210881,5,7,
Al,2,299.8172,201000,13.076729,17.21085,5,3,
Al,2,299.8172,1810000,13.076729,17.21085,5,5,
Al,2,302.2792,2680000,13.071347,17.171798,1,3,
Al,2,302.407,8020000,13.07308,17.171798,3,3,
Al,2,302.6765,13300000,13.076729,17.171798,5,3,
Al,2,307.4684,9020000,13.649399,17.680649,5,7,
Al,1,308.2151,58700000,0,4.0214836,2,4,
Al,2,308.8518,10800000,13.25646,17.269654,3,5,
Al,1,309.27084,72900000,0.0138938,4.0216502,4,6,
Al,1,309.28369,11600000,0.0138938,4.0214836,4,4,
Al,2,327.5766,7410000,11.821968,15.6057689,1,3,
Al,2,331.3346,1330000,11.846618,15.5875046,7,5,
Al,2,331.3466,237000,11.846753,15.5875046,5,5,
Al,2,331.3568,15800,11.846869,15.5875046,3,5,
Al,2,331.4881,1180000,11.846753,15.5859083,5,3,
Al,2,331.4983,394000,11.846869,15.5859083,3,3,
Al,2,331.5608,1580000,11.846869,15.585203,3,1,
Al,2,335.1462,10400000,13.649399,17.347743,5,3,
Al,2,342.89,5780000,13.649399,17.2642222,5,7,
Al,2,353.4851,811000,13.841265,17.347743,1,3,
Al,2,358.6557,235000000,11.846618,15.302546,7,9,
Al,2,358.6931,26200000,11.846618,15.302186,7,7,
Al,2,358.7072,209000000,11.846753,15.302186,5,7,
Al,2,358.7185,1030000,11.846618,15.301941,7,5,
Al,2,358.7325,36600000,11.846753,15.301941,5,5,
Al,2,358.7445,197000000,11.846869,15.301941,3,5,
Al,2,364.9204,12600000,13.071347,16.467947,1,3,
Al,2,365.1067,9450000,13.07308,16.467947,3,3,
Al,2,365.1087,17000000,13.07308,16.467928,3,5,
Al,2,365.5004,22600000,13.076729,16.46794,5,7,
Al,2,365.4996,628000,13.076729,16.467947,5,3,
Al,2,365.5016,5640000,13.076729,16.467928,5,5,
Al,2,370.3225,32300000,13.25646,16.6035135,3,5,
Al,2,373.1954,4950000,13.071347,16.3926349,1,3,
Al,2,373.3903,14800000,13.07308,16.3926349,3,3,
Al,2,373.8012,24600000,13.076729,16.3926349,5,3,
Al,2,386.6168,42600000,13.25646,16.4624524,3,1,
Al,2,390.0675,480000,7.420705,10.598337,3,5,
Al,1,394.4006,49900000,0,3.1427212,2,2,
Al,1,396.15201,98500000,0.0138938,3.1427212,4,2,
Al,2,399.5837,7050000,15.062034,18.163991,7,9,
Al,2,399.6074,785000,15.062034,18.163808,7,7,
Al,2,399.6141,6260000,15.062086,18.163808,5,7,
Al,2,399.6248,31000,15.062034,18.163673,7,5,
Al,2,399.6315,1100000,15.062086,18.163673,5,5,
Al,2,399.6368,5910000,15.0621276,18.163673,3,5,
Al,2,402.6318,11600000,13.649399,16.727874,5,3,
Al,2,408.4141,604000,15.062034,18.096925,7,5,
Al,2,408.4212,108000,15.062086,18.096925,5,5,
Al,2,408.4267,7170,15.0621276,18.096925,3,5,
Al,2,410.5486,530000,15.062086,18.081198,5,3,
Al,2,410.5542,177000,15.0621276,18.081198,3,3,
Al,2,411.5438,701000,15.0621276,18.073939,3,1,
Al,2,422.6816,9370000,15.062034,17.994485,7,9,
Al,2,422.742,1040000,15.062034,17.994066,7,7,
Al,2,422.7495,8310000,15.062086,17.994066,5,7,
Al,2,422.7853,41100,15.062034,17.993766,7,5,
Al,2,422.7928,1460000,15.062086,17.993766,5,5,
