#element,sp_num,ritz_wl_vac(nm),Aki(s^-1),Ei(eV),Ek(eV),g_i,g_k,Type
Fe,2,231.582519,51000000,7.5682105,12.920346,6,6,
Fe,2,231.593454,29000000,7.7058106,13.0576934,6,4,
Fe,2,231.606241,9000000,7.5576776,12.909265,8,6,
Fe,2,231.608967,7600000,7.7025932,13.0541176,4,4,
Fe,2,231.651225,77000000,7.6951447,13.045693,8,8,
Fe,2,231.672292,3900000,7.5576776,12.9077394,8,8,
Fe,2,231.69114,110000000,7.5682105,12.917837,6,4,
Fe,2,231.700549,24000000,7.5165973,12.8660067,12,10,
Fe,2,231.702401,18000000,7.6951447,13.0445113,8,10,
Fe,2,231.706035,65000000,5.58476799,10.9340507,4,2,
Fe,2,231.719041,3600000,7.6530572,13.0020396,8,10,
Fe,2,231.735119,234000000,7.7058106,13.054422,6,8,
Fe,2,231.738016,3100000,2.84411707,8.1926616,6,6,
Fe,2,231.738058,9000000,7.3973238,12.7458673,4,6,
Fe,2,231.759565,51000000,7.7173363,13.0653835,4,6,
Fe,2,231.796365,2200000,5.24885175,10.59605,6,8,
Fe,2,231.815016,64000000,6.0877427,11.4345108,2,4,
Fe,2,231.831838,70000000,7.9704921,13.3168722,8,6,
Fe,2,231.834268,5600000,2.82812245,8.1744466,8,8,
Fe,2,231.842323,1900000,4.47910423,9.8252426,4,4,
Fe,2,231.853659,8000000,2.64185518,7.9877322,4,6,
Fe,2,231.855573,2800000,4.47910423,9.8249371,4,4,
Fe,2,231.86008,19000000,7.574617,12.920346,6,6,
Fe,2,231.864259,2600000,6.0877427,11.4333753,2,4,
Fe,2,231.869836,17000000,7.5391368,12.8846409,10,8,
Fe,2,231.900713,1900000,8.1452725,13.4900649,10,8,
Fe,2,231.900799,44000000,7.7025932,13.0473836,4,6,
Fe,2,231.922078,3200000,7.7025932,13.0468933,4,4,
Fe,2,231.945628,41000000,8.1040544,13.4478119,12,14,
Fe,2,231.968961,90000000,7.574617,12.917837,6,4,
Fe,2,231.975841,1700000,7.6284514,12.971513,14,14,
Fe,2,231.981176,41000000,7.6042922,12.9472309,4,6,
Fe,2,231.991761,5800000,7.7269984,13.0696934,8,6,
Fe,2,232.003477,142000000,7.6951447,13.0375699,8,10,
Fe,2,232.015884,68000000,7.7058106,13.0479501,6,6,
Fe,1,232.035752,14100000,0.05156912,5.39325126,7,9,
Fe,2,232.040492,27000000,7.7058106,13.0473836,6,6,
Fe,2,232.069678,13000000,5.5891955,10.9300968,6,4,
Fe,2,232.093328,21000000,7.7173363,13.0576934,4,4,
Fe,2,232.113964,1200000,7.7058106,13.045693,6,8,
Fe,2,232.116168,2800000,8.1308918,13.4707235,12,14,
Fe,2,232.124291,68000000,7.5576776,12.8973225,8,6,
Fe,2,232.129331,22000000,7.5682105,12.9077394,6,8,
Fe,2,232.149391,37000000,7.7066254,13.045693,10,8,
Fe,2,232.168942,10000000,2.80665448,8.1452725,10,10,
Fe,2,232.175553,155000000,7.5165973,12.8550633,12,10,
Fe,2,232.226881,27000000,7.919655,13.2569411,12,10,
Fe,2,232.232961,6800000,2.85551515,8.1926616,4,6,
Fe,2,232.248852,11000000,7.7173363,13.0541176,4,4,
Fe,2,232.266304,19000000,7.5428961,12.8792764,14,16,
Fe,2,232.271286,7200000,7.6973256,13.0335915,10,8,
Fe,2,232.294102,322000000,7.5824802,12.918222,8,10,
Fe,2,232.327051,30000000,7.5576776,12.8926628,8,8,
Fe,2,232.342398,7200000,7.5576776,12.8923104,8,8,
Fe,2,232.355295,12000000,8.1040544,13.4383911,12,12,
Fe,2,232.371505,6100000,8.1279417,13.4619063,10,10,
Fe,2,232.408205,28000000,7.574617,12.9077394,6,8,
Fe,2,232.457906,40000000,7.9877322,13.3197144,6,4,
Fe,2,232.475033,3600000,7.7025932,13.0341827,4,6,
Fe,2,232.48158,54000000,7.5682105,12.8996498,6,6,
Fe,2,232.503161,27000000,7.7066254,13.0375699,10,10,
Fe,2,232.503556,147000000,7.5617273,12.8926628,10,8,
Fe,2,232.510029,3300000,7.7233696,13.0541566,14,14,
Fe,2,232.518926,10000000,7.5617273,12.8923104,10,8,
Fe,2,232.524643,8000000,4.49479059,9.8252426,6,4,
Fe,2,232.529317,133000000,7.5165973,12.8469422,12,14,
Fe,2,232.537972,12000000,4.49479059,9.8249371,6,4,
Fe,2,232.542299,16000000,7.7173363,13.0473836,4,6,
Fe,2,232.563697,13000000,7.7173363,13.0468933,4,4,
Fe,2,232.571478,372000000,7.5617273,12.891106,10,12,
Fe,2,232.576147,4000000,7.5165973,12.845869,12,10,
Fe,2,232.580906,80000000,5.604888,10.9340507,2,2,
Fe,2,232.583117,28000000,7.5682105,12.8973225,6,6,
Fe,2,232.615418,3600000,7.7058106,13.0341827,6,6,
Fe,2,232.618563,14000000,7.9286411,13.2569411,10,10,
Fe,2,232.622115,312000000,7.5165973,12.844816,12,12,
Fe,2,232.63607,116000000,6.21873433,11.5466334,10,8,
Fe,2,232.641231,11000000,7.7058106,13.0335915,6,8,
Fe,2,232.654632,2200000,7.6265941,12.9540682,10,8,
Fe,2,232.676944,214000000,7.5576776,12.8846409,8,8,
Fe,2,232.681022,264000000,7.5391368,12.8660067,10,10,
Fe,2,232.739541,66000000,0.08278213,5.40831276,6,4,
Fe,2,232.748923,34000000,7.9286411,13.2539571,10,8,
Fe,2,232.753607,10000000,5.604888,10.9300968,2,4,
Fe,2,232.761301,93000000,7.574617,12.8996498,6,6,
Fe,2,232.769814,4700000,5.23672772,10.5615658,8,10,
Fe,2,232.78751,430000000,7.549101,12.8735344,12,14,
Fe,2,232.787607,108000000,7.5391368,12.8635679,10,12,
Fe,2,232.796081,5900000,2.80665448,8.1308918,10,12,
Fe,2,232.802088,800000,7.5682105,12.8923104,6,8,
Fe,2,232.803642,4300000,5.58476799,10.9088324,4,6,
Fe,2,232.853981,56000000,7.5617273,12.8846409,10,8,
Fe,2,232.863083,16000000,7.574617,12.8973225,6,6,
Fe,2,232.874822,124000000,7.6951447,13.0175819,8,8,
Fe,2,232.933815,97000000,7.5576776,12.878767,8,10,
Fe,2,232.93619,131000000,6.22559822,11.5466334,6,8,
Fe,2,232.952097,64000000,7.5428961,12.8635679,14,12,
Fe,2,232.970291,23000000,7.6973256,13.0175819,10,8,
Fe,2,232.988519,4500000,7.574617,12.8944571,6,8,
Fe,2,232.999213,270000000,7.7066254,13.0262214,10,12,
Fe,2,233.010859,700000,3.42449356,8.7438237,6,8,
Fe,2,233.032856,7000000,5.61522263,10.9340507,4,2,
Fe,2,233.054202,2100000,5.20337749,10.5217184,12,12,
Fe,2,233.067136,38000000,7.574617,12.8926628,6,8,
Fe,2,233.090494,10000000,7.7269984,13.0445113,8,10,
Fe,2,233.105546,177000000,7.5824802,12.8996498,8,6,
Fe,2,233.111243,251000000,7.5617273,12.878767,10,10,
Fe,2,233.130809,31700000,0.23217279,5.54876624,10,8,
Fe,2,233.154479,56000000,7.6042922,12.920346,4,6,
Fe,2,233.197444,420000000,7.5428961,12.8579705,14,16,
Fe,2,233.207628,35000000,7.5824802,12.8973225,8,6,
Fe,2,233.224104,244000000,7.549101,12.8635679,12,12,
Fe,2,233.24905,11000000,7.9400585,13.2539571,8,8,
Fe,2,233.264579,21000000,7.6042922,12.917837,4,4,
Fe,2,233.279874,131000000,0.04770753,5.36090398,8,6,
Fe,2,233.291396,5000000,6.138076,11.4510101,4,4,
Fe,2,233.295093,5100000,7.6951447,13.0079946,8,10,
Fe,2,233.323203,47000000,7.919655,13.2318648,12,10,
Fe,2,233.34658,44000000,8.1452725,13.4569502,10,8,
Fe,2,233.370814,152000000,5.28894824,10.6000744,8,6,
Fe,2,233.37827,101000000,7.7066254,13.0175819,10,8,
Fe,2,233.390907,13000000,7.6973256,13.0079946,10,10,
Fe,2,233.39519,43000000,7.7269984,13.0375699,8,10,
Fe,2,233.407048,7500000,7.8041909,13.1144927,8,8,
Fe,2,233.412286,274000000,7.5824802,12.8926628,8,8,
Fe,2,233.419061,6600000,7.7725538,13.0825823,6,4,
Fe,2,233.419263,2800000,7.574617,12.8846409,6,8,
Fe,2,233.427777,2900000,7.5824802,12.8923104,8,8,
Fe,2,233.432083,41000000,7.9400585,13.2497908,8,6,
Fe,2,233.436286,10000000,7.5617273,12.871364,10,8,
Fe,2,233.447871,37000000,6.138076,11.4474493,4,6,
Fe,2,233.472734,33000000,7.9286411,13.2374489,10,8,
Fe,2,233.475275,17000000,8.1040544,13.4128045,12,12,
Fe,2,233.493796,17000000,7.5576776,12.8660067,8,10,
Fe,2,233.502501,27000000,7.9458259,13.2539571,6,8,
Fe,2,233.510808,18000000,8.1308918,13.4388341,12,10,
Fe,2,233.544164,15000000,7.7269984,13.0341827,8,6,
Fe,2,233.56406,2700000,7.5391368,12.845869,10,10,
Fe,2,233.570183,173000000,7.7269984,13.0335915,8,8,
Fe,2,233.629823,53000000,7.4889348,12.7941734,6,8,
Fe,2,233.652929,17000000,7.6973256,13.0020396,10,10,
Fe,2,233.682353,265000000,7.5428961,12.8469422,14,14,
Fe,2,233.685932,12000000,7.9458259,13.2497908,6,6,
Fe,2,233.693012,4100000,8.1744466,13.4782508,8,8,
Fe,2,233.718594,4900000,7.9286411,13.2318648,10,10,
Fe,2,233.725207,10000000,7.6061288,12.9092025,16,16,
Fe,2,233.73782,13000000,8.1040544,13.406842,12,14,
Fe,2,233.743428,410000000,7.5674109,12.8700712,2,2,
Fe,2,233.752387,73000000,6.138076,11.4405332,4,6,
Fe,2,233.765457,53000000,7.5824802,12.8846409,8,8,
Fe,2,233.776074,121000000,7.5428961,12.844816,14,12,
Fe,2,233.795905,52000000,7.9458259,13.2472961,6,4,
Fe,2,233.800655,113000000,0.10695023,5.40831276,4,4,
Fe,2,233.814788,15000000,7.9400585,13.2411006,8,6,
Fe,2,233.820187,2800000,3.76769941,9.0686191,10,8,
Fe,2,233.854413,5600000,5.22157443,10.5217184,10,12,
Fe,2,233.883752,5000000,7.7269984,13.0264775,8,8,
Fe,2,233.891933,25000000,7.6951447,12.9944385,8,10,
Fe,2,233.940765,12000000,2.27642922,7.574617,4,6,
Fe,2,233.965942,1800000,7.6358402,12.9334579,12,14,
Fe,2,233.97598,10000000,7.9400585,13.2374489,8,8,
Fe,2,233.988237,225000000,7.6973256,12.9944385,10,10,
Fe,2,234.004402,8000000,7.574617,12.871364,6,8,
Fe,2,234.026578,800000,7.6061288,12.902374,16,14,
Fe,2,234.03555,59000000,4.47910423,9.7751463,4,2,
Fe,2,234.046246,16000000,2.69193206,7.9877322,8,6,
Fe,2,234.05949,58000000,8.1744466,13.4699471,8,6,
Fe,2,234.063304,11000000,7.7066254,13.0020396,10,10,
Fe,2,234.065809,20000000,7.6042922,12.8996498,4,6,
Fe,2,234.06947,4300000,7.9458259,13.2411006,6,6,
Fe,2,234.094313,5300000,2.67577925,7.9704921,10,8,
Fe,2,234.103381,600000,3.76769941,9.0622072,10,10,
Fe,2,234.106265,7000000,7.7025932,12.9970358,4,6,
Fe,2,234.111479,1500000,7.708299,13.0026236,8,8,
Fe,2,234.117466,318000000,7.4889348,12.7831241,6,8,
Fe,2,234.145226,270000000,8.1452725,13.4388341,10,10,
Fe,2,234.164824,181000000,8.1452725,13.4383911,10,12,
Fe,2,234.177605,39000000,7.7725538,13.0653835,6,6,
Fe,2,234.180239,90000000,7.789812,13.0825823,2,4,
Fe,2,234.183723,5900000,7.7058106,12.9985021,6,4,
Fe,2,234.22401,8000000,2.27642922,7.5682105,4,6,
Fe,2,234.230799,137000000,7.6265941,12.918222,10,10,
Fe,2,234.231013,16000000,7.9458259,13.2374489,6,8,
Fe,2,234.277038,31000000,7.7269984,13.0175819,8,8,
Fe,2,234.288806,101000000,8.1452725,13.4355903,10,8,
Fe,2,234.330744,450000000,7.6265941,12.9159652,10,12,
Fe,2,234.349481,173000000,0,5.28894824,10,8,
Fe,2,234.385382,4200000,8.307007,13.5951452,6,6,
Fe,2,234.396077,31300000,0.30129858,5.5891955,8,6,
Fe,2,234.399793,20000000,7.7066254,12.9944385,10,10,
Fe,2,234.415459,273000000,8.1744466,13.4619063,8,10,
Fe,2,234.428128,92700000,0.12113874,5.40831276,2,4,
Fe,2,234.446308,34000000,7.5576776,12.8444417,8,6,
Fe,2,234.446758,8000000,7.9877322,13.2744861,6,4,
Fe,2,234.46028,112000000,7.9704921,13.2569411,8,10,
Fe,2,234.498369,32000000,7.789812,13.0754025,2,4,
Fe,2,234.498424,334000000,8.1926616,13.4782508,6,8,
Fe,2,234.517752,4500000,3.76769941,9.052853,10,8,
Fe,2,234.533693,73000000,2.63486052,7.919655,14,12,
Fe,2,234.53641,58000000,8.0349812,13.3197144,2,4,
Fe,2,234.592712,20000000,7.9704921,13.2539571,8,8,
Fe,2,234.595829,42000000,7.7025932,12.985988,4,6,
Fe,2,234.626874,14000000,3.96737644,9.2500722,8,6,
Fe,2,234.62691,13000000,5.23672772,10.5194227,8,6,
Fe,2,234.629528,43000000,7.7066254,12.9892615,10,12,
Fe,2,234.63541,320000000,8.1744466,13.4569502,8,8,
Fe,2,234.651077,18000000,5.24885175,10.5310027,6,4,
Fe,2,234.661662,359000000,8.1308918,13.4128045,12,12,
Fe,2,234.668118,340000000,7.4889348,12.7707022,6,6,
Fe,2,234.68825,3100000,8.0384001,13.3197144,4,4,
Fe,2,234.692449,5800000,5.22157443,10.5027943,10,8,
Fe,2,234.695766,10000000,7.6265941,12.9077394,10,8,
Fe,2,234.70239,1300000,7.7269984,13.0079946,8,10,
Fe,2,234.713285,37000000,7.6284514,12.9092025,14,16,
Fe,2,234.741119,56000000,7.6358402,12.9159652,12,12,
Fe,2,234.746693,30000000,8.240429,13.5204286,12,14,
Fe,2,234.77786,28000000,7.9704921,13.2497908,8,6,
Fe,2,234.783259,3600000,7.8041909,13.0833683,8,10,
Fe,2,234.811561,65000000,0.23217279,5.5107139,10,8,
Fe,2,234.814629,85000000,8.0384001,13.3168722,4,6,
Fe,2,234.830215,115000000,0.08278213,5.36090398,6,6,
Fe,2,234.867434,54000000,8.1926616,13.4699471,6,6,
Fe,2,234.891949,2100000,5.20337749,10.4801123,12,10,
Fe,2,234.926883,330000000,8.1308918,13.406842,12,14,
Fe,2,234.941355,1100000,7.7269984,13.0026236,8,8,
Fe,2,234.951549,10000000,7.7725538,13.0479501,6,6,
Fe,2,234.976783,1800000,7.7725538,13.0473836,6,6,
Fe,2,235.001631,96000000,7.5165973,12.7908695,12,10,
Fe,2,235.017812,193000000,5.25709365,10.5310027,4,4,
Fe,2,235.024665,319000000,8.1926616,13.4664169,6,6,
Fe,1,235.041045,161000,0,5.2733878,9,7,
Fe,2,235.051751,152000000,7.6061288,12.8792764,16,16,
Fe,2,235.120071,72000000,2.65702556,7.9286411,12,10,
Fe,2,235.166673,180000000,5.24885175,10.5194227,6,6,
Fe,2,235.1802,48000000,6.22249688,11.4927646,8,6,
Fe,2,235.190485,1700000,7.7269984,12.9970358,8,6,
Fe,2,235.195675,74000000,6.2169162,11.4868373,6,4,
Fe,2,235.199975,81000000,7.574617,12.8444417,6,6,
Fe,2,235.201663,16000000,7.6951447,12.9649317,8,6,
Fe,2,235.208094,14000000,7.8448498,13.1144927,6,8,
Fe,2,235.23091,440000000,5.26187092,10.5310027,2,4,
Fe,2,235.266519,12000000,8.3709578,13.6392921,12,10,
Fe,2,235.276168,1900000,5.36090398,10.6290223,6,4,
Fe,2,235.302355,54000000,8.1452725,13.4128045,10,12,
Fe,2,235.346963,500000000,7.6358402,12.902374,12,14,
Fe,2,235.360766,112000000,7.9877322,13.2539571,6,8,
Fe,2,235.36784,130000000,5.23672772,10.5027943,8,8,
Fe,2,235.375652,1100000,7.7233696,12.9892615,14,12,
Fe,2,235.380696,69000000,7.6042922,12.8700712,4,2,
Fe,2,235.437354,101000000,7.6265941,12.891106,10,12,
Fe,2,235.442916,20000000,8.1744466,13.4388341,8,10,
Fe,2,235.447758,81000000,2.67577925,7.9400585,10,8,
Fe,2,235.48898,26700000,0.35186476,5.61522263,6,4,
Fe,2,235.514081,24000000,7.7025932,12.9653902,4,4,
Fe,2,235.521516,1600000,2.34166141,7.6042922,2,4,
Fe,2,235.52158,16000000,2.65702556,7.919655,12,12,
Fe,2,235.535023,450000000,5.25709365,10.5194227,4,6,
Fe,2,235.546213,27000000,7.6951447,12.9572238,8,6,
Fe,2,235.566368,7400000,7.7725538,13.0341827,6,6,
Fe,2,235.577838,49000000,7.9704921,13.2318648,8,10,
Fe,2,235.583823,47000000,6.22559822,11.4868373,6,4,
Fe,2,235.588092,45000000,8.1744466,13.4355903,8,8,
Fe,1,235.590902,517000,0.08728574,5.34836675,5,7,
Fe,2,235.59284,26000000,7.7725538,13.0335915,6,8,
Fe,2,235.620825,700000,2.54377802,7.8041909,6,8,
Fe,2,235.642156,2500000,2.7784633,8.0384001,2,4,
Fe,2,235.658861,47000000,7.9877322,13.2472961,6,4,
Fe,2,235.678708,28000000,7.7058106,12.9649317,6,6,
Fe,2,235.681275,14000000,7.8063198,13.0653835,4,6,
Fe,2,235.684598,12000000,7.7269984,12.985988,8,6,
Fe,2,235.687565,27000000,7.6951447,12.9540682,8,8,
Fe,2,235.700312,128000000,4.15363129,9.4122703,8,6,
Fe,2,235.704849,92000000,5.22157443,10.4801123,10,10,
Fe,2,235.726866,64000000,7.6265941,12.8846409,10,8,
Fe,2,235.770161,10000000,7.789812,13.0468933,2,4,
Fe,2,235.776834,14000000,7.4889348,12.7458673,6,6,
Fe,2,235.785354,77000000,7.6973256,12.9540682,10,8,
Fe,2,235.851617,80000000,7.6358402,12.891106,12,12,
Fe,2,235.880129,39000000,7.7025932,12.9572238,4,6,
Fe,2,235.895281,112000000,8.184541,13.4388341,10,10,
Fe,2,235.90245,140000000,6.2086229,11.4627564,4,2,
Fe,2,235.910519,50000000,0.10695023,5.36090398,4,6,
Fe,2,235.913209,122000000,2.69193206,7.9458259,8,6,
Fe,2,235.915173,179000000,8.184541,13.4383911,10,12,
Fe,2,235.959562,23000000,2.67577925,7.9286411,10,10,
Fe,2,235.990517,85000000,7.6265941,12.878767,10,10,
Fe,2,235.994412,27000000,7.6951447,12.9472309,8,6,
Fe,2,235.999939,35900000,0.23217279,5.48413599,10,10,
Fe,2,236.005399,104000000,7.6061288,12.8579705,16,16,
Fe,2,236.029423,62000000,0.30129858,5.55260578,8,6,
Fe,2,236.041015,327000000,8.184541,13.4355903,10,8,
Fe,2,236.051098,400000000,7.6284514,12.8792764,14,16,
Fe,2,236.053102,22200000,5.24885175,10.4996322,6,8,
Fe,2,236.100937,138000000,7.9877322,13.2374489,6,8,
Fe,2,236.111153,34000000,8.255989,13.5054786,10,10,
Fe,2,236.126837,163000000,8.2477153,13.4968562,6,4,
Fe,2,236.135841,1600000,3.38661825,8.6355591,8,6,
Fe,2,236.138422,1100000,8.2297382,13.4786216,8,6,
Fe,2,236.15628,700000,7.6931007,12.9415873,6,8,
Fe,2,236.172484,24000000,2.69193206,7.9400585,8,8,
Fe,2,236.175753,20000000,7.7173363,12.9653902,4,4,
Fe,2,236.202138,14100000,0.30129858,5.54876624,8,8,
Fe,2,236.20326,4700000,7.7066254,12.9540682,10,8,
Fe,2,236.248293,8000000,7.6951447,12.9415873,8,8,
Fe,2,236.253575,240000000,8.2589171,13.5052424,4,2,
Fe,2,236.269764,27000000,8.240429,13.4863948,12,12,
Fe,2,236.309538,93000000,7.6284514,12.8735344,14,14,
Fe,2,236.312007,34000000,7.7725538,13.0175819,6,8,
Fe,2,236.3296,105000000,7.7025932,12.9472309,4,6,
Fe,2,236.350029,630000000,7.6061288,12.8503132,16,18,
Fe,2,236.363945,2600000,2.67577925,7.919655,10,12,
Fe,2,236.381056,30000000,3.38661825,8.6301144,8,8,
Fe,2,236.386088,530000000,5.23672772,10.4801123,8,10,
Fe,2,236.387816,15000000,3.81430861,9.0576548,8,6,
Fe,2,236.40673,3800000,7.6358402,12.878767,12,10,
Fe,2,236.431065,55000000,6.2086229,11.4510101,4,4,
Fe,2,236.465204,1800000,7.8063198,13.0479501,4,6,
Fe,2,236.470994,161000000,7.8041909,13.045693,8,8,
Fe,2,236.47468,8000000,7.7058106,12.9472309,6,6,
Fe,2,236.482785,59000000,0.04770753,5.28894824,8,8,
Fe,2,236.490765,120000000,7.8063198,13.0473836,4,6,
Fe,2,236.502067,72000000,7.6061288,12.8469422,16,14,
Fe,2,236.504971,14000000,6.21873433,11.4594834,10,10,
Fe,2,236.524322,17000000,7.8041909,13.0445113,8,10,
Fe,2,236.529354,250000000,8.2297382,13.4699471,8,6,
Fe,2,236.532035,223000000,7.6042922,12.8444417,4,6,
Fe,2,236.553825,1000000,7.8041909,13.0438578,8,6,
Fe,2,236.576239,216000000,5.36090398,10.6000744,6,6,
Fe,2,236.5766,570000000,8.2663161,13.5054786,8,10,
Fe,2,236.594238,1700000,7.7066254,12.9453973,10,10,
Fe,2,236.604513,4400000,3.81430861,9.052853,8,8,
Fe,2,236.631858,41000000,8.2589171,13.4968562,4,4,
Fe,2,236.632122,37000000,7.7269984,12.9649317,8,6,
Fe,2,236.642928,68000000,7.6358402,12.8735344,12,14,
Fe,2,236.659348,10100000,0.35186476,5.5891955,6,6,
Fe,2,236.676596,4300000,6.2086229,11.445572,4,2,
Fe,2,236.686924,1900000,8.2340029,13.4707235,14,14,
Fe,2,236.687447,3500000,2.69193206,7.9286411,8,10,
Fe,2,236.688818,115000000,8.2297382,13.4664169,8,6,
Fe,2,236.805715,28000000,6.2169162,11.4510101,6,4,
Fe,2,236.823373,4800000,5.28894824,10.5226519,8,6,
Fe,2,236.838066,29000000,7.8041909,13.0375699,8,10,
Fe,2,236.859599,60600000,0.35186476,5.58476799,6,4,
Fe,2,236.880293,3900000,7.5617273,12.7941734,10,8,
Fe,2,236.892879,102000000,8.2297382,13.4619063,8,10,
Fe,2,236.904557,5000000,6.2086229,11.4405332,4,6,
Fe,2,236.923906,4200000,2.80665448,8.0381375,10,10,
Fe,1,236.945612,2530000,0.11011433,5.34111814,3,3,
Fe,2,236.966052,38000000,7.8448498,13.0754025,6,4,
Fe,2,236.972704,540000000,8.255989,13.4863948,10,12,
Fe,2,236.977748,42000000,8.240429,13.4707235,12,14,
Fe,2,236.980878,29000000,7.7269984,12.9572238,8,6,
Fe,2,236.985276,11000000,5.48413599,10.7142644,10,8,
Fe,2,236.987929,25000000,7.7725538,13.0026236,6,8,
Fe,2,236.991468,80000000,7.8041909,13.0341827,8,6,
Fe,2,236.995317,590000000,5.22157443,10.4514812,10,12,
Fe,2,237.012889,119000000,7.6284514,12.8579705,14,16,
Fe,2,237.018261,58000000,7.8041909,13.0335915,8,8,
Fe,2,237.026039,5300000,7.8448498,13.0740788,6,8,
Fe,2,237.049866,17300000,0.38651921,5.61522263,4,4,
Fe,2,237.061094,4500000,2.84411707,8.0725728,6,8,
Fe,2,237.069813,95000000,8.184541,13.4128045,10,12,
Fe,2,237.080012,75000000,8.3709578,13.5989964,12,12,
Fe,2,237.08798,19000000,7.8063198,13.0341827,4,6,
Fe,2,237.094115,120000000,7.6358402,12.8635679,12,12,
Fe,2,237.117506,31000000,8.2297382,13.4569502,8,8,
Fe,1,237.143028,2670000,0.08728574,5.31393522,5,5,
Fe,2,237.15926,5600000,5.5107139,10.7370057,8,6,
Fe,2,237.165618,5000000,5.22157443,10.4477261,10,8,
Fe,2,237.174182,139000000,7.5682105,12.7941734,6,8,
Fe,2,237.199198,17000000,6.22559822,11.4510101,6,4,
Fe,2,237.208761,21000000,7.6951447,12.920346,8,6,
Fe,2,237.22914,15000000,6.2086229,11.4333753,4,4,
Fe,2,237.231842,17000000,8.2477153,13.4724082,6,4,
Fe,2,237.23583,660000,2.57958587,7.8041909,10,8,
Fe,2,237.263287,94000000,4.14931647,9.373317,10,8,
Fe,2,237.278741,3300000,2.58265947,7.8063198,6,4,
Fe,2,237.28071,28000000,6.2169162,11.4405332,6,6,
Fe,2,237.30523,18000000,7.6951447,12.918222,8,10,
Fe,2,237.316295,13000000,6.21873433,11.4415681,10,8,
Fe,2,237.33787,24000000,7.9458259,13.1681849,6,6,
Fe,2,237.343652,72000000,8.2477153,13.4699471,6,6,
Fe,2,237.360959,73000000,6.22559822,11.4474493,6,6,
Fe,1,237.36243,6530000,0.05156912,5.2733878,7,7,
Fe,2,237.373534,42500000,0,5.22157443,10,10,
Fe,2,237.377948,3500000,8.240429,13.4619063,12,10,
Fe,2,237.407078,40000000,8.3709578,13.5917945,12,10,
Fe,2,237.412446,2500000,6.0877427,11.3084614,2,4,
Fe,2,237.420859,98000000,7.8448498,13.0653835,6,6,
Fe,2,237.434557,17000000,7.7269984,12.9472309,8,6,
Fe,2,237.439114,210000000,7.7691291,12.9892615,12,12,
Fe,1,237.45185,3140000,0.12126572,5.34111814,1,3,
Fe,2,237.459435,2400000,4.15363129,9.373317,8,8,
Fe,2,237.465314,231000000,7.574617,12.7941734,6,8,
Fe,2,237.474639,4800000,7.9286411,13.1479926,10,12,
Fe,2,237.487396,53000000,6.22249688,11.4415681,8,8,
Fe,2,237.499572,74000000,8.0381375,13.2569411,10,10,
Fe,2,237.504216,11000000,8.2477153,13.4664169,6,6,
Fe,2,237.507038,32000000,7.6973256,12.9159652,10,12,
Fe,2,237.51381,121000000,7.6284514,12.8469422,14,14,
Fe,2,237.519365,98000000,0.38651921,5.604888,4,2,
Fe,2,237.54741,66000000,7.7025932,12.920346,4,6,
Fe,2,237.554613,27000000,6.2169162,11.4345108,6,4,
Fe,2,237.610629,72000000,7.6284514,12.844816,14,12,
Fe,2,237.642916,640000000,5.20337749,10.4190334,12,14,
Fe,2,237.675775,27000000,6.22559822,11.4405332,6,6,
Fe,2,237.71344,23000000,8.2589171,13.4730259,4,2,
Fe,2,237.727104,11000000,8.2340029,13.4478119,14,14,
Fe,2,237.740831,10000000,7.5617273,12.7752353,10,8,
Fe,2,237.746169,88000000,7.8041909,13.0175819,8,8,
Fe,2,237.788297,12000000,8.255989,13.4684564,10,12,
Fe,2,237.795255,15000000,8.0349812,13.2472961,2,4,
Fe,2,237.812606,219000000,8.2663161,13.4782508,8,8,
Fe,2,237.837428,2900000,8.0384001,13.2497908,4,6,
Fe,2,237.852274,24000000,3.42449356,8.6355591,6,6,
Fe,2,237.853897,43000000,8.2589171,13.4699471,4,6,
Fe,2,237.855337,17000000,5.23672772,10.4477261,8,8,
Fe,2,237.865924,6900000,8.1926616,13.4034281,6,4,
Fe,2,237.86969,14900000,5.28894824,10.4996322,8,8,
Fe,2,237.882028,122000000,7.6973256,12.9077394,10,8,
Fe,2,237.891759,15000000,5.25709365,10.4672943,4,4,
Fe,2,237.896889,75000000,7.7233696,12.9334579,14,14,
Fe,2,237.900235,11000000,2.82812245,8.0381375,8,10,
Fe,2,237.914193,7200000,3.22131344,8.4310228,8,10,
Fe,2,237.916973,54000000,4.6155941,9.8252426,2,4,
Fe,2,237.920461,31000000,7.8448498,13.054422,6,8,
Fe,2,237.927624,27300000,0.30129858,5.5107139,8,8,
Fe,2,237.930926,80000000,4.6155941,9.8249371,2,4,
Fe,2,237.931074,5700000,7.7066254,12.9159652,10,12,
Fe,2,237.935865,111000000,8.2477153,13.4569502,6,8,
Fe,2,237.942084,37000000,6.21873433,11.4278331,10,10,
Fe,2,237.942214,117000000,8.2297382,13.4388341,8,10,
Fe,2,237.950591,38000000,6.22559822,11.4345108,6,4,
Fe,2,237.960753,19000000,7.789812,12.9985021,2,4,
Fe,2,237.969114,34000000,7.574617,12.7831241,6,8,
Fe,2,237.979981,73000000,8.4310228,13.6392921,10,10,
Fe,2,238.015152,59000000,8.2589171,13.4664169,4,6,
Fe,2,238.020491,460000000,8.240429,13.4478119,12,14,
Fe,2,238.03686,3300000,7.5682105,12.7752353,6,8,
